Date,GS
2011-12-16,90.099998
2011-12-17,89.29999766666667
2011-12-18,88.49999733333333
2011-12-19,87.699997
2011-12-20,90.980003
2011-12-21,92.0
2011-12-22,94.41999799999999
2011-12-23,93.790001
2011-12-24,93.31750125
2011-12-25,92.8450015
2011-12-26,92.37250175
2011-12-27,91.900002
2011-12-28,90.120003
2011-12-29,91.010002
2011-12-30,90.43
2011-12-31,91.66250025000001
2012-01-01,92.89500050000001
2012-01-02,94.12750075
2012-01-03,95.360001
2012-01-04,94.739998
2012-01-05,94.58000200000001
2012-01-06,93.41999799999999
2012-01-07,93.84333266666667
2012-01-08,94.26666733333333
2012-01-09,94.690002
2012-01-10,98.33000200000001
2012-01-11,99.760002
2012-01-12,101.209999
2012-01-13,98.959999
2012-01-14,98.63999925
2012-01-15,98.3199995
2012-01-16,97.99999975
2012-01-17,97.68
2012-01-18,104.309998
2012-01-19,107.68
2012-01-20,108.739998
2012-01-21,108.556666
2012-01-22,108.373334
2012-01-23,108.190002
2012-01-24,108.870003
2012-01-25,108.269997
2012-01-26,108.559998
2012-01-27,111.769997
2012-01-28,111.089999
2012-01-29,110.410001
2012-01-30,109.730003
2012-01-31,111.470001
2012-02-01,113.449997
2012-02-02,113.389999
2012-02-03,117.529999
2012-02-04,117.48333233333334
2012-02-05,117.43666566666667
2012-02-06,117.389999
2012-02-07,115.980003
2012-02-08,116.150002
2012-02-09,115.879997
2012-02-10,114.120003
2012-02-11,114.25666833333334
2012-02-12,114.39333366666666
2012-02-13,114.529999
2012-02-14,112.870003
2012-02-15,113.16999799999999
2012-02-16,114.739998
2012-02-17,115.910004
2012-02-18,116.09000225
2012-02-19,116.27000050000001
2012-02-20,116.44999875
2012-02-21,116.629997
2012-02-22,114.360001
2012-02-23,115.800003
2012-02-24,115.870003
2012-02-25,115.990003
2012-02-26,116.11000299999999
2012-02-27,116.230003
2012-02-28,117.110001
2012-02-29,115.139999
2012-03-01,121.129997
2012-03-02,119.959999
2012-03-03,119.516665
2012-03-04,119.073331
2012-03-05,118.629997
2012-03-06,113.66999799999999
2012-03-07,116.400002
2012-03-08,117.16999799999999
2012-03-09,117.290001
2012-03-10,117.19
2012-03-11,117.089999
2012-03-12,116.989998
2012-03-13,124.540001
2012-03-14,120.370003
2012-03-15,123.059998
2012-03-16,122.93
2012-03-17,123.38666766666667
2012-03-18,123.84333533333334
2012-03-19,124.300003
2012-03-20,126.019997
2012-03-21,125.989998
2012-03-22,124.739998
2012-03-23,126.18
2012-03-24,126.81000233333334
2012-03-25,127.44000466666667
2012-03-26,128.070007
2012-03-27,126.33000200000001
2012-03-28,126.360001
2012-03-29,123.760002
2012-03-30,124.370003
2012-03-31,124.54666933333333
2012-04-01,124.72333566666667
2012-04-02,124.900002
2012-04-03,122.709999
2012-04-04,119.959999
2012-04-05,118.0
2012-04-06,117.75499925
2012-04-07,117.5099985
2012-04-08,117.26499775
2012-04-09,117.019997
2012-04-10,114.559998
2012-04-11,115.93
2012-04-12,120.389999
2012-04-13,115.089996
2012-04-14,115.96999833333334
2012-04-15,116.85000066666666
2012-04-16,117.730003
2012-04-17,116.860001
2012-04-18,115.33000200000001
2012-04-19,113.599998
2012-04-20,112.440002
2012-04-21,112.21000133333334
2012-04-22,111.98000066666667
2012-04-23,111.75
2012-04-24,114.110001
2012-04-25,113.980003
2012-04-26,114.559998
2012-04-27,114.410004
2012-04-28,114.65667
2012-04-29,114.903336
2012-04-30,115.150002
2012-05-01,115.33000200000001
2012-05-02,113.769997
2012-05-03,111.529999
2012-05-04,108.989998
2012-05-05,109.339999
2012-05-06,109.69
2012-05-07,110.040001
2012-05-08,109.370003
2012-05-09,107.290001
2012-05-10,106.32
2012-05-11,102.129997
2012-05-12,101.34333033333334
2012-05-13,100.55666366666667
